,date_ordinal,open,close,volume,low,high
315,735696,139.915,140.0275,2524323,139.3008,141.4983
316,735697,139.8977,140.4514,2263490,139.0499,140.5639
317,735698,140.4514,140.9013,2515703,139.5084,141.308
318,735701,140.4774,140.4861,3868911,140.4688,141.8876
319,735702,140.5207,140.4168,2719287,139.1104,140.7934
320,735703,140.7023,142.0001,3498756,140.5899,142.7182
321,735704,141.2907,141.1349,3136947,140.6245,141.8703
322,735705,139.941,139.0066,4314432,138.4529,140.0362
323,735708,140.2438,143.7564,9609204,140.0708,144.1717
324,735709,143.6785,142.1126,9683592,141.9309,144.8119
325,735710,142.225,143.0643,4024789,140.9273,143.618
326,735711,142.9518,147.2863,8235607,142.8739,148.7311
327,735712,147.2776,146.8883,3888439,145.9885,147.814
328,735715,147.8486,147.7102,3168575,147.3382,148.3677
329,735716,147.7967,150.4701,5816654,147.0959,151.1363
330,735717,150.0202,150.8854,4518381,149.5011,151.5172
331,735718,150.3403,148.1947,5062913,147.3382,150.7816
332,735719,149.8472,150.2538,3312052,149.1723,150.5393
333,735722,150.9459,150.5134,4027978,150.2798,152.5292
334,735723,150.1154,149.7434,3593620,148.7744,150.7383
335,735724,150.7197,148.2353,3612606,147.198,151.7222
336,735725,147.8692,149.0547,2472687,147.3549,149.9177
337,735726,150.7546,150.5279,3092602,150.1444,151.0945
338,735729,150.5018,149.168,2661030,148.9414,150.7981
339,735730,148.6712,148.6712,2962412,147.1805,149.4905
340,735731,149.2726,150.1792,2457521,148.8455,150.5802
341,735732,151.2427,151.7222,2439070,150.9986,152.0273
342,735733,151.6001,151.0335,2916579,150.4582,152.036
343,735736,151.1904,150.8592,1970630,150.1967,151.234
344,735737,150.7807,151.2253,2523002,149.8741,151.4606
345,735738,151.0945,151.4694,2300693,150.3361,152.0621
346,735739,151.0858,151.1032,2295596,150.8374,151.8006
347,735740,150.8417,150.1269,2849692,150.1008,151.1468
348,735744,150.031,148.305,3854170,147.4333,150.0397
349,735745,149.2029,149.9351,2764378,148.6188,150.3536
350,735746,149.4557,149.6823,1731372,148.767,149.7957
351,735747,149.3685,147.8866,4091981,147.8866,149.3685
352,735750,148.3748,148.3486,2985479,147.3461,149.0983
353,735751,147.8953,147.8866,2571862,146.8231,148.584
354,735752,148.6276,148.122,2131031,147.8692,149.5517
355,735753,147.782,146.7795,3079334,146.3873,148.7147
356,735754,146.6662,145.9252,3100505,145.7509,147.2418
357,735757,145.7248,144.1295,3758726,143.8506,145.8206
358,735758,144.1295,144.4259,3395901,142.4122,144.7223
359,735759,145.132,147.2503,4680545,144.7571,147.66
360,735760,147.5466,147.1282,3464013,146.919,148.5753
361,735761,146.6488,145.5678,3065085,145.3063,146.7098
362,735764,144.1208,144.9315,4245657,143.1793,145.0884
363,735765,144.9925,145.4371,3249842,144.6264,145.9252
364,735766,145.5766,145.7248,2862993,144.792,146.3154
365,735767,145.6201,146.6662,3330864,145.6201,147.0759
366,735768,146.117,145.5678,7073984,145.3761,146.8144
367,735771,146.1432,146.2129,2335796,145.7509,146.7447
368,735772,146.7795,146.9887,3701637,146.0761,148.1656
369,735773,147.0672,145.5504,3548093,145.4285,147.1805
370,735774,146.2739,144.7746,2408885,144.7746,146.5616
371,735775,144.9053,144.2341,8945985,144.0336,145.4123
372,735778,142.8917,142.0635,3314684,141.9938,144.1382
373,735779,142.9527,141.7933,3597288,141.3226,142.9614
374,735780,142.9353,143.3886,3214547,142.6127,144.3649
375,735781,143.8767,143.9116,2852696,143.3275,144.1121
376,735785,142.8132,143.5978,3079833,142.543,144.0336
377,735786,143.7808,143.8331,3549861,141.42,144.1382
378,735787,142.9614,142.2292,2776286,141.8107,143.7808
379,735788,144.1295,142.8307,4199708,142.6999,144.2777
380,735789,144.4085,145.533,4538349,144.2821,145.9252
381,735792,146.3873,147.6512,4228963,146.0299,148.0958
382,735793,147.6948,146.98,3025263,146.6575,147.7907
383,735794,146.8667,146.9103,1998004,146.4483,147.5554
384,735795,147.7297,149.0634,3529874,147.4595,149.1419
385,735796,148.4794,150.3797,4356404,148.2789,150.3884
386,735799,150.6238,150.9986,7377818,150.0572,151.4868
387,735800,143.2578,142.1507,13752277,141.2354,145.0099
388,735801,141.8543,139.7797,7181841,139.213,142.1503
389,735802,139.7099,140.9826,5034246,139.3264,141.8718
390,735803,140.5991,139.2566,3778186,138.9602,141.157
391,735806,138.6028,138.6639,3706240,138.2541,139.6315
392,735807,139.3961,139.5181,2721040,138.167,139.6402
393,735808,139.4745,140.4247,3378396,138.9428,140.7821
394,735809,139.9104,140.3114,1994665,139.2566,140.695
395,735810,140.695,141.2093,3580226,140.0237,141.2703
396,735813,140.9565,138.35,4615682,137.6439,141.0872
397,735814,138.0798,137.3824,5260575,136.7461,138.4459
398,735815,138.69,137.6439,3472774,137.2778,139.0736
399,735816,138.1098,137.3978,3004796,137.2748,138.4702
400,735817,137.0199,136.3431,3794897,135.6531,137.3363
401,735820,137.7934,137.7758,4613391,137.222,138.4044
402,735821,137.0814,136.6859,3167111,136.1146,137.1078
403,735822,135.5872,137.2572,3624852,135.3147,137.5736
404,735823,137.1693,136.2991,2533378,135.6374,137.1957
405,735824,136.2376,136.8968,3226434,135.8685,137.3011
406,735827,136.4134,137.389,2249554,135.9739,137.723
407,735828,136.6859,137.1254,2018337,136.4574,137.5736
408,735829,136.3695,135.3059,4205904,134.8401,136.8265
409,735830,134.2512,134.1809,4011514,134.0402,135.2796
410,735831,133.1613,130.8321,7362116,130.7002,134.6467
411,735834,126.1033,126.1033,10189693,125.0925,129.874
412,735835,129.1533,123.8971,7073209,123.5983,129.3027
413,735836,126.6482,128.9423,6221791,124.9343,129.1884
414,735837,130.5244,130.5596,4976632,128.0282,130.9375
415,735838,129.8652,130.0674,4076276,129.3642,130.2607
